,title,synopsis,genre,adult
15,Gintama' Enchousen,away found new leader golden-haired doppelganger order regain former position need help around troubling feat one remember claim throne main character addition make trip back red-light district aid elderly courtesan search long-lost lover although district longer chains beneath earth surface trio soon learn tragic backstories inhabitants still haunt flashback flashback quest witnessing everlasting love protecting best hearts souls includes moments action-packed intensity along usual lighthearted slapstick humor friends,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci', 'Fi', 'Shounen']",1
16,One Punch Man,seemingly ordinary unimpressive rather unique hobby hero order pursue childhood dream trained relentlessly three years lost hair process incredibly powerful much enemy able defeat battle fact takes defeat evildoers one punch led unexpected problem longer able enjoy thrill battling become quite bored changes arrival -year-old cyborg wishes disciple seeing capable proposes two join hero association order become certified heroes recognized positive contributions society shocked one knows quickly agrees thus begins story one punch man action-comedy follows eccentric individual longs fight strong enemies hopefully give excitement felt maybe become popular process,"['Action', 'Sci', 'Fi', 'Comedy', 'Parody', 'Super', 'Power', 'Supernatural', 'Seinen']",1
17,Kaguya-hime no Monogatari,deep countryside man named works bamboo cutter forest chopping away hollow plants day day one day discovers small baby inside glowing shoot immediately takes home convinced princess sent earth divine blessing heaven wife take upon raise infant watching quickly grows energetic young girl given name fits right village come call home going adventures children enjoying youth offer finds large fortune gold treasure forest life completely changed believing yet another gift heaven takes upon turn daughter real princess using wealth obtained relocating family mansion capital leaves friends behind enter unwanted life royalty origins purpose slowly come light,"['Fantasy', 'Historical']",1
18,Koukaku Kidoutai 2 0,first ghost cyberspace film return five theaters enhanced ghost edition new edition include new computer graphics digital effects scenes reunion cast members new surround sound recording academy-award-winning sound mixer editor randy ghost innocence right stuff overseen new soundtrack original music final mix produced digital sound studio new edition enigmatic puppet master character played ghost innocence ghost stand alone complex prime minister giant chief played role original edition film screen coincidentally latest film sky crawlers open one month ghost august,"['Action', 'Sci', 'Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']",1
19,Nodame Cantabile Finale - Mine to Kiyora no Saikai,violinist meets two friends visit world-class conductor upon arriving residence discover maestro escaped japan make wasted trip visiting important landmarks historical capital classical music confession make seen boyfriend mine entire year still busy preparing international competition promise attend final round two back receive unexpected guest,"['Comedy', 'Josei', 'Music', 'Romance']",1
20,Saraiya Goyou,samurai skilled loyal swordsman naive diffident nature time caused let lords employed hungry desperate becomes bodyguard charismatic leader gang called five leaves although disturbed gang sinister activities begins suspect motivations seem despite misgivings deeper drawn world five leaves finds fascinated devious mysterious outlaws,"['Mystery', 'Historical', 'Drama', 'Samurai', 'Seinen']",1
21,Saint Seiya Meiou Hades Meikai-hen,rest bronze gold saints survived sanctuary battle entered world dead fighting get hades defeat,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Sci', 'Fi', 'Shounen', 'Super', 'Power']",0
22,Noragami OVA,bundled limited editions 10th 11th volumes manga 10th volume adapts 25th chapter manga 11th volume adapts popular cherry blossom-viewing arc,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']",1
23,Lupin III Part II,iii chronicles adventures iii world greatest thief partners crime master marksman beautiful scheming mine stoic samurai xiii gang travel around globe search world greatest treasures riches always keeping one step ahead tireless inspector vowed bring justice,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']",1
24,Kobayashi-san Chi no Maid Dragon Valentine Soshite Onsen - Amari Kitai Shinaide Kudasai,episode included 7th volume release chi maid dragon,"['Slice', 'of', 'Life', 'Comedy', 'Fantasy']",1
25,Kuroko no Basket 2nd Season NG-shuu,animated bloopers based extra section original manga series included series basket second season limited normal editions,"['Comedy', 'Sports']",1
26,K-On Live House ,almost end year tea time invited participate live house new year eve iconic band members carefree guitarist enthusiastic play music shy bassist gets embarrassed easily gentle sweet keyboardist finds joy normal activities extroverted drummer likes tease rhythm guitarist one year younger rest slightly mature performing set gives girls rare opportunity meet various people different bands including one invited love tea time able delight audiences successfully,"['Comedy', 'Music', 'School', 'Slice', 'of', 'Life']",1
27,K-On ,young carefree girl entering high school imagination instantly captured sees poster advertising light music club carefree girl quickly signs however problem unable play instrument goes clubroom explain greeted members although disheartened lack musical know-how still try convince stay prevent club disbandment playing short piece re-ignites imagination succeed keeping new member guitarist along tasks school homework begins learn guitar help band members experiencing many mishaps along way however school festival drawing near getting stuck practice light music club ready time debut,"['Slice', 'of', 'Life', 'Comedy', 'Music', 'School']",1
28,InuYasha Movie 3 Tenka Hadou no Ken,parents problems human named magical sword sealed away years found everyone sword powers seems sword something else mind,"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shounen']",1
29,Haikyuu Movie 2 Shousha to Haisha,second recap movie,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",1
30,Ginga Eiyuu Densetsu Die Neue These - Seiran 1,free planets alliance invasion galactic empire failed supply mismanagement led heavy losses unwilling abort expedition despite greatly outnumbered fleet admiral lazar orders remaining alliance fleets gather final stand incoming counterattack strategic genius fleet admiral leads imperial forces decisive battle overwhelming advantage however rival tactical magician vice admiral yang wen-li alliance makes incompetence superiors stages narrow escape fellow soldiers though yang displeased outcome former imperfect victory latter tremendous casualties attention must turn bubbling political unrest sides galaxy,"['Action', 'Drama', 'Military', 'Sci', 'Fi', 'Space']",1
31,Gekkan Shoujo Nozaki-kun Specials,specials bundled,"['Comedy', 'Romance', 'School']",1
32,Gate Jieitai Kanochi nite Kaku Tatakaeri 2nd Season,several months passed since infamous incident tensions empire escalating vast mysterious special region peace negotiations greed curiosity global powers also begun grow reports technological limitations magical realm archaic civilizations come light meanwhile lieutenant merry band female admirers struggle navigate complex political intrigue plagues empire court despite best efforts princess faces difficulties attempting convince father intention conquering kingdom pressured sides gate must consider even drastic measures fulfill mission,"['Action', 'Military', 'Adventure', 'Fantasy']",1
33,Doukyonin wa Hiza Tokidoki Atama no Ue ,-year-old mystery novel author major introvert awkwardly shy person would much rather stay home read book outside interact others exacerbating life solitude parents tragically died accident many years ago leaving alone world one day giving offerings parent grave runs small white cat named ends taking home however never taken care anyone else life even take care cat grateful toward gives food wants luxury cat used rough life streets notices even seem take care okay dunce tells story unlikely friendship human cat try foster understanding,"['Slice', 'of', 'Life', 'Comedy']",0
34,Digimon Adventure,group kids head summer camp expect snow middle nowhere kids receive strange devices transport different world begin adventure led plucky seven children must survive realm far home filled monsters devoid humans luckily alone child paired companion digital monster called together children new friends must overcome insecurities discover inner strengths evolve stronger fighters literally force evil spreading digital world corrupting arrived save digital world ever want see home world,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",1
35,Byousoku 5 Centimeter,two close friends classmates torn apart family transferred another region japan due family job despite separation continue keep touch mail finds family also moving decides meet one last time years pass continue paths distance slowly growing wider contact one another fades yet keep remembering one another times shared together wondering chance meet,"['Slice', 'of', 'Life', 'Drama', 'Romance']",1
36,Detective Conan OVA 10 Kid in Trap Island,entirely new story produced specifically leads group young detectives phantom thief kid eyes set jewel hotel isolated island,"['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']",1
37,Bungou Stray Dogs Dead Apple,large scale catastrophe occurring across planet ability users discovered appearance mysterious fog apparently committed suicide armed detective agency sets investigate mysterious deaths case seems involve unknown ability user referred collector man could mastermind behind incident trust courage put test order save city ability users across world grip collector armed detective agency forms unlikely partnership dangerous port mafia,"['Action', 'Comedy', 'Mystery', 'Super', 'Power', 'Supernatural']",1
38,Asagao to Kase-san ,timid girl enjoys tending school greenery falls love boyish athletic two eventually begin dating story follows pair face various challenges relationship,"['Romance', 'School', 'Shoujo', 'Ai']",1
39,Ansatsu Kyoushitsu 2nd Season Kagaijugyou-hen,shorts 2nd season adapt chapters manga series adapted chapters published ninth manga volume,"['Action', 'Comedy', 'School', 'Shounen']",1
40,Uchuu Senkan Yamato 2202 Ai no Senshi-tachi,three years since return legendary space battleship earth begun rebuilding made peace however recovery comes cost utilizing forbidden wave motion technology meanwhile notorious former crew members gone separate ways receive psychic message mysterious goddess urges return beloved ship travel distant planet promised revolutionary power combat unprecedented threat relentless empire approaching earth innocent intentions unable resist plea crew reassembles sets sail another perilous intergalactic voyage one test sheer courage versatility face even greater foe,"['Action', 'Drama', 'Military', 'Sci', 'Fi', 'Space']",1
41,Transformers the Movie,year twenty-one years heroic evil resumed war planet earth conquered robot home planet surprise attack factions wage gruesome battle city midst battle leader prime dies fight leader matrix leadership passed second-in-command ultra meanwhile badly-damaged jettisoned deep space encounters planet-eating robot reborn new leader reign rise imminent arrival within orbit must act quickly protect matrix face total annihilation,"['Action', 'Mecha']",1
42,Toshokan Sensou Kakumei no Tsubasa,receive emergency recall middle date japan rocked terror attack new duty protection detail assigned author meanwhile relationship librarians media purity committee also worsening,"['Action', 'Comedy', 'Military', 'Romance']",1
43,Shokugeki no Souma Shin no Sara,fourth season,"['Ecchi', 'School', 'Shounen']",1
44,Paradise Kiss,way home school approached weird-looking guy starts looking body intently got blond spiky hair spiked choker multiple piercings ears face wants nothing runs away bump tall beautiful purple-haired woman flower pattern around eye faints shock wakes later strange place called atelier turns strangers fashion designers attend famous art school around art academy group wants model brand academy upcoming show turns offer escapes atelier unknowingly leaves school behind head designer later sees immediately knows would perfect model stop gets wants wants never considered something frivolous modeling could life among eccentric designers actually prove fun lose world art passion,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice', 'of', 'Life']",0
45,Manga de Wakaru Fate Grand Order,short anime based manga fate grand order aired fate project year end also available,['Comedy'],1
46,Lucky Star Original na Visual to Animation,ova features six separate stories revolving around cast border bizarre one environment played another suggestive dream,"['Comedy', 'Parody', 'School', 'Slice', 'of', 'Life']",1
47,Last Exile,world flight dominant mode transportation made possible fluid liquidized form crystals produced planet organization known solely guild absolute authority skies monopoly engines make use fluid moreover ecological disasters destabilize warring countries guild also arbitrates disputes two caught middle conflict sky couriers piloting small two-person fly freely sky last exile follows adventures two teenagers dream surpassing parents son famous pilot head best friend navigator job couriers entails passing air current called grand stream separates hostile nations even standard airships struggle survive however take high-rated delivery bring orphan girl named battleship get dragged much greater conflict pits might guild,"['Action', 'Sci', 'Fi', 'Adventure']",0
48,Koukaku Kidoutai 2 Innocence,major missing section assigned investigate string gruesome murders seemingly hands faulty sex robots faulty leaves cryptic message begins question malfunctions suspicions politically motivated murder illegal ghost quickly crop drawing partner perilous web conspiracy investigation goes line man machine continues blur reality perception become indistinguishable confronting strange dangerous foes explore futuristic world filled machines living dolls utterly devoid humanity,"['Military', 'Sci', 'Fi', 'Police', 'Psychological', 'Mecha']",1
49,Heartcatch Precure ,2nd year middle school student moved family town live grandma shy introverted determined start new school life academy confidently possible lately mysterious dream cure moonlight defeat great heart tree wonders means suddenly two fairies dream appear knows transformed legendary pretty cure cure blossom later joined high energy classmate new friend cure marine two girls vow work hard protect everyone heart flowers evil gang desert messengers,"['Action', 'Slice', 'of', 'Life', 'Fantasy', 'Magic', 'Comedy', 'School', 'Shoujo']",1
50,Hidamari Sketch x 365,passing entrance exam enrolls high school part art degree stays apartments along best friend seniors episode follows day life mingles friends close peers overly hyper teachers closely follows mundane lives high school girls,"['Slice', 'of', 'Life', 'Comedy', 'School', 'Seinen']",1
51,Ginga Tetsudou 999,distant future humanity found way live forever purchasing mechanical bodies way immortality extraordinarily expensive impoverished boy desires purchase pass galaxy express train travels throughout universe said end line aboard obtain mechanical body free mother gunned villainous machine-man hybrid count however seems lost saved certain death mysterious tall woman blonde hair striking resemblance mother gives pass galaxy express one condition travel together thus begins journey across universe many unique planets thrilling adventures hopes able attain desires,"['Sci', 'Fi', 'Adventure', 'Space', 'Drama']",1
52,Gundam Build Fighters,though plastic models better known exploded popularity release anime series mobile suit presence faded new purpose power particles fans able pit others virtual reality-style battle best competing annual world tournament whose father finalist competition dreams one day conquering contest however expert builder lacks prowess effectively fight creations actual battle comes mysterious boy curiously ignorant society quickly demonstrates tremendous ability battles two boys decide combine strengths order sweep world tournament take world storm,"['Action', 'Sci', 'Fi', 'Mecha']",1
53,Ghost Hunt,school friends like exchange ghost stories apparently abandoned school building campus center many ghost stories story interrupted mysterious male figure person turns -year-old president psychic research company called principal investigate stories surrounding abandoned school building next day way school passes school building question examining strange camera spotted inside gets surprised assistant unknowingly interfering investigation breaks camera assistant gets injured forcefully hires order pay camera replace injured assistant point begins learn paranormal world profession ghost hunting,"['Mystery', 'Comedy', 'Horror', 'Supernatural', 'Shoujo']",0
54,Gakuen Babysitters,losing parents fatal plane crash teenager must adjust new life guardian younger brother although able maintain friendly kindhearted demeanor reserved toddler still young understand reality situation parent funeral approached stern chairman elite academy decides take care however one condition must fulfill exchange roof heads school must become school babysitter effort support female teachers academy babysitter club established look infant children unfortunately club severely short-staffed responsible little brother also handful toddlers possess dynamic personalities,"['Comedy', 'School', 'Shoujo', 'Slice', 'of', 'Life']",1
55,Detective Conan Movie 23 The Fist of Blue Sapphire,23rd detective movie,"['Action', 'Mystery', 'Comedy', 'Police', 'Drama', 'Shounen']",0
56,Bleach,ordinary high family attacked hollow corrupt spirit seeks devour human souls meets soul reaper named gets injured protecting family assailant save family accepts offer taking powers becomes soul reaper result however unable regain powers given daunting task hunting hollows plague town however alone fight later joined friends classmates unique abilities comrades get used new duties support battlefield young soul reaper soon learns hollows real threat human world,"['Action', 'Adventure', 'Comedy', 'Super', 'Power', 'Supernatural', 'Shounen']",0
57,Akagami no Shirayuki-hime,although name means snow white cheerful red-haired girl living country works diligently apothecary herbal shop life changes drastically noticed silly prince prince tries force become concubine unwilling give freedom cuts long red hair escapes forest rescued zen second prince neighboring country two aides hoping repay debt trio someday sets sights pursuing career court herbalist zen country depicts journey toward new life royal palace well zen endeavor become prince worthy title loyal friendships forged deadly enemies formed zen slowly learn support walk paths,"['Fantasy', 'Romance', 'Drama', 'Shoujo']",1
58,91 Days,child living town lawless witnessed tragedy parents younger brother mercilessly slaughtered mafia family losing everything holds dear leaves name hometown behind adopting new identity seven years later finally chance revenge receives mysterious letter prompting return lawless obliging soon encounters son seeks befriend using skills quietly honed years set prohibition era days tells story dark bloodstained path vengeance slowly ends men involved killing family,"['Action', 'Drama', 'Historical']",1
59,Wolf's Rain,dying world exists ancient legend world ends gateway paradise opened utopia sole salvation remnants life barren land legend also dictates wolves find way mythical realm though long thought extinct wolves still exist live humans disguising elaborate illusions lone wolf named finds drawn intoxicating scent freeze city impoverished town rule callous lord discovers wolves drawn aroma following fragrance lunar flowers said key opening door ideal world wolves set journey across desolate landscapes crumbling cities find legendary promised land however ones seeking paradise sinister intentions anything power reach first,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci', 'Fi']",1
60,Tentai Senshi Sunred,magnificent story conflict good evil takes place city ally justice dedicated stopping evil organization quest world domination general vamp minions constantly thinking new schemes defeat sounds like typical story characters make difference hero rude violent lazy playing day leeching girlfriend meanwhile general vamp polite conscientious ideal homemaker cooks mothers minions discusses housekeeping bickers constantly even monsters tend adorable harmless episode comprised several shorts weighing anywhere minutes seconds explores daily lives sworn enemies story battle good evil takes place,"['Comedy', 'Parody', 'Super', 'Power', 'Seinen']",1
61,Shingeki no Kyojin OVA,bundled 12th 13th 14th limited-edition manga volumes,"['Action', 'Super', 'Power', 'Drama', 'Fantasy', 'Shounen']",1
62,Maria-sama ga Miteru 4th,council found two new helpers unfortunately assistance comes tension neither girl particularly fond seem likely candidates petite either good fit school year marches work council piles pressure begins mount make final decision,"['School', 'Shoujo', 'Shoujo', 'Ai', 'Slice', 'of', 'Life']",1
63,Kubikiri Cycle Aoiro Savant to Zaregototsukai,due mysterious disease genius forced family stay mansion isolated wet crow feather island handful maids keep entertained invites variety fellow geniuses stay guests home including computer savant unnamed assistant skilled fortune-teller famous artist academic scholar renowned cook visits progress normal one guests found gruesomely murdered night without single clue identity killer possible motive tensions rise island killer remains large assistant takes upon uncover culprit identity murderous events progress,"['Action', 'Mystery', 'Supernatural', 'Drama']",1
64,Kono Subarashii Sekai ni Shukufuku wo Kono Subarashii Choker ni Shukufuku wo ,finds choker wiz magic shop said grant one wish decides put problem die four days strangulation wish granted remember wished idea party members help girls therefore choice submit every whim want save,"['Magic', 'Adventure', 'Fantasy', 'Comedy', 'Supernatural']",0
65,Karakai Jouzu no Takagi-san,friend knows inside good thing case opposite true classmate loves tease daily basis uses extensive knowledge behavior predict exactly react teasing making nearly impossible ever make successful comeback despite vows someday give taste medicine making blush embarrassment teasing,"['Romance', 'Comedy', 'School', 'Slice', 'of', 'Life', 'Shounen']",1
66,Junjou Romantica,regular high school student preparing university entrance exams order reduce stress studying hopes accepts help older brother best friend famous author however find books naughty genre may something naughty waking inside well also follows story two couples loosely connected egoist shows passionate often complicated relationship university professor whose life reached time low falls first sight would anything make happy third story terrorist shows obsessive love become rich eighteen-year-old finally discovers something easily literature professor passion abound three couples try achieve goals life also falling temptation anguish partners,"['Comedy', 'Drama', 'Romance', 'Shounen', 'Ai']",1
67,Fate Grand Order Zettai Majuu Sensen Babylonia,foundations humanity incinerated mage king secret mages organization mission preserve humanity future foresaw mankind extinction thus commenced operation repair singularities history caused holy grails dispersed across time space operation grand order using time travel technology last master mash traveled resolved six singularities depart dangerous destination yet civilization age gods mash soon discover demonic beasts roam land attacking people towns amidst chaos terror lies humanity last defense fortress city acts frontline battle beasts battlefront commanded none king king heroes sought aid heroic spirits took role mage protect city along summoned servants mash must protect magical beast onslaught defeat three goddess alliance aims eradicate humankind greater threat looms preparing awakening,"['Action', 'Fantasy', 'Magic', 'Supernatural']",1
68,Emiya-san Chi no Kyou no Gohan,threat holy grail war longer looming city inhabitants finally enjoy time peace masters servants adjusted new mundane lives taken upon cook household show saber wonders modern cuisine every day ventures marketplace see kind different meals cook unique ingredients limited budget however legendary skills often attract uninvited guests city never dull moment dinner family guests entertain living room walks step-by-step process creating favorite meals delicacies savory new year soba shrimp tempura steamy foil-baked salmon cheesy bamboo shoot gratin everything grabs menu,"['Slice', 'of', 'Life', 'Comedy']",1
69,Charlotte,surface appears another charming intelligent teenager secret ability slip people minds fully control body five seconds time using skill years gain highest grades allowed enter prestigious high school enigmatic catches using power coerces sister transferring academy school students supernatural abilities student council school led tasked secretly tracking adolescents abuse powers forced join student council together face formidable challenges bring closer shocking truth seemingly incomplete ability might powerful could ever imagined original story jun creator angel beats charlotte explores supernatural lives teenagers price must pay special,"['Drama', 'School', 'Super', 'Power']",1
70,Capeta,4th grader boy lost mother little although pretended tough front father actually felt lonely one day father brought junk parts home workplace made racing cart soon went circuit drive cart however found frame bent could hardly run straight technique managed cart furthermore followed soon fast cart could nearly leave behind driver cart champion east japan junior cart looking chase mother advised take part official race,"['Cars', 'Shounen', 'Sports']",0
71,Break Blade 5 Shisen no Hate,fifth break blade movie,"['Action', 'Military', 'Fantasy', 'Mecha', 'Shounen']",1
72,Aggressive Retsuko ONA 2nd Season,second season aggressive,"['Slice', 'of', 'Life', 'Comedy']",1
73,Yao Shen Ji 3rd Season,third season,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Martial', 'Arts', 'Romance']",0
74,Space Dandy,universe mysterious strange place full even stranger mysterious aliens dandy job hunt unclassified aliens register reward sounds easy enough something weird always seems happen along way like chance meetings zombies mystical ramen chefs adorable orphans hunting aliens may easy definitely never boring help sidekicks adorable robot vacuum cat-like alien meow slightly-used ship aloha dandy roams galaxy searching new alien species usually finds however adventure danger romance two journeys universes ever space dandy baby,"['Sci', 'Fi', 'Space', 'Comedy']",0
75,Slayers Try,nearly millennium demons imposed magical barrier impeded people trapped within reaching outside world broken several kingdoms seek explore lands beyond grasp end establish peace delegation make contact inhabitants new world meanwhile young sorceress inverse receives message mysterious woman named meet expresses interest hiring friends heard great deeds certain task take outside realm despite feels need put strength test pits dragon middle city proving sorceress fellow adventurers set unexplored lands many adventures worrying prophecy await,"['Adventure', 'Comedy', 'Demons', 'Magic', 'Fantasy', 'Shounen']",1
76,Seikai no Senki II,due lack ambassadors recently-conquered worlds rapidly advancing fleet brothers leave behind appointed territorial ambassador planet upon arriving planet discover planet used united mankind prison planet million prisoners inhabited island prisoners parted three blocks western women housed eastern belongs men central mixed restriction prisoners living sterilized women western sector want emigrate planet fear men men east rebel overthrowing guards capturing try stop emigration women time enemy fleet heads toward system forcing abandon,"['Action', 'Military', 'Romance', 'Sci', 'Fi', 'Space']",0
77,Mobile Suit Gundam Wing Endless Waltz Movie,climax eve wars year armies world nation white fang met ferocious battle world nation leader slain white fang leader disappeared earth saved destruction intervention five pilots witnessed consequences war hatred people earth space colonies put aside differences together founded new world government newly-formed earth sphere unified nation year passed peace government populace disarmed almost every remaining mobile suit destroyed deciding follow suit pilots duo maxwell barton quatre winner place mighty mobile suits inside asteroid send one-way voyage sun even bid farewell new conflict drawing near,"['Action', 'Space', 'Mecha', 'Military', 'Drama', 'Sci', 'Fi']",0
